Employee ID,Age,Gender,Job Role,Department,Monthly Income,Years at Company,Number of Promotions,Last Raise Percentage,Distance from Office,Job Satisfaction,Performance Rating,Attrition
1,50,Male,HR,IT,11547,12,1,12.288782750351658,41.307654259382105,9,1,No
2,36,Male,Sales,Support,8643,28,4,3.4963710562399197,44.73320383148178,8,1,Yes
3,29,Male,Technician,HR,12418,12,4,4.796945095051979,18.64687605358358,1,3,No
4,42,Male,Technician,Support,11441,25,1,10.310470851330688,15.790848027566383,8,4,No
5,40,Female,Engineer,Sales,9178,25,2,6.210126975429433,41.23917927484346,6,4,No
6,44,Male,HR,Support,14587,14,2,9.509122060104225,33.700395279534604,7,4,Yes
7,32,Male,HR,IT,3531,14,0,2.9940934564307864,1.0,2,2,No
8,32,Male,Manager,HR,11750,23,4,3.1293666464606362,39.675255035150606,1,4,No
9,45,Female,Manager,IT,4619,26,5,6.688368524136291,45.29713022737215,4,4,No
10,57,Male,Technician,Engineering,4291,10,3,7.577152653907935,5.816426823160459,7,4,No
11,45,Female,Engineer,Support,6124,21,1,17.89322712289959,17.58027092053666,5,4,No
12,24,Female,HR,Support,7880,9,0,0.6690276147763474,42.08058665519545,8,5,No
13,43,Male,Engineer,Support,7113,5,4,19.857108833050866,31.958805469303787,8,2,No
14,23,Male,Sales,Sales,12319,6,3,15.935047429175848,48.08428409119732,10,1,No
15,45,Male,HR,IT,6911,4,0,10.84501901315993,49.64039373809169,10,3,No
16,51,Female,Manager,Engineering,10159,10,2,17.128372137262428,13.958314043254205,2,3,Yes
17,59,Male,Technician,Sales,4107,0,2,18.705093149634905,35.66722266744294,6,2,No
18,23,Male,Engineer,Sales,8427,1,2,5.023878117071742,31.74076600173325,7,1,No
19,42,Male,Manager,HR,8270,16,4,6.3126121612821695,9.84981278773753,3,4,No
20,54,Female,Technician,Engineering,9496,28,1,2.2184936679623157,10.19241280478899,3,2,No
21,33,Male,Manager,Support,4687,25,4,11.27692234650109,29.692697629006922,4,4,No
22,43,Male,HR,Support,8987,6,3,3.1889675134104545,22.344153578614264,3,1,No
23,46,Female,Engineer,HR,7471,28,3,18.61741232794709,31.23330765643811,7,1,No
24,48,Female,Sales,Support,8681,24,4,8.631336942118981,14.429102765440907,2,3,No
25,49,Female,Manager,IT,6475,22,4,18.393734524013517,25.244585032952386,8,5,No
26,37,Male,Engineer,Support,5577,9,0,5.0741522692082315,19.01744593757528,8,5,No
27,36,Female,HR,IT,5532,1,2,16.822494395938165,45.60972636692556,1,5,No
