customer_id,join_date,last_purchase_date,age,gender,location
1,2023-11-20,2024-03-17,56.0,Female,North Shannonbury
2,2021-09-08,2023-10-25,,Male,Hillville
3,2021-06-01,2022-11-27,,,North Latoyatown
4,2022-01-01,2022-09-01,29.0,Male,Grossstad
5,2022-01-24,2023-06-02,,Male,East Matthewfort
6,2022-01-01,2023-02-10,55.0,Female,North Richardfort
7,2023-12-11,2024-05-29,,Female,Perezside
8,2023-02-09,2023-08-09,68.0,Male,Marquezton
9,2022-01-24,2023-08-15,68.0,Female,West Franciscobury
10,2021-08-28,2023-01-08,49.0,,Lake Natasha
11,2022-10-24,2023-01-09,60.0,Male,West Danielmouth
12,2021-05-08,2024-04-01,23.0,Male,Shannonland
13,2020-04-12,2022-05-24,34.0,Female,Brendahaven
14,2021-08-15,2021-12-06,23.0,Female,East Diana
15,2022-03-27,2023-12-31,58.0,Female,Riceland
16,2023-05-06,2023-08-15,,Male,South Laura
17,2023-12-01,2024-02-05,40.0,Female,Gabrielleburgh
18,2020-04-17,2021-06-14,25.0,Female,East Brianborough
19,2021-03-11,2023-06-05,,Female,New Nicholasville
20,2020-12-26,2021-02-03,22.0,Female,West Scottview
21,2023-04-07,2024-05-17,20.0,Male,New Michael
22,2021-01-29,2023-03-04,26.0,Male,West Matthew
23,2022-08-13,2023-11-15,61.0,Female,Craigview
24,2020-08-04,2023-03-10,48.0,Female,Lebury
25,2023-05-21,2023-07-21,20.0,Male,Jenningsstad
26,2023-05-26,2023-11-18,65.0,Female,Wrighthaven
27,2021-09-04,2023-04-11,33.0,Female,Moorehaven
28,2022-04-11,2023-05-03,64.0,Male,Maryland
29,2020-02-19,2021-09-14,20.0,Male,North Cameron
30,2020-08-04,2023-05-21,47.0,Male,Port Tracyton
31,2022-02-08,2022-05-25,59.0,Male,South Dawnview
32,2021-12-22,2023-01-21,54.0,Female,Hillview
33,2022-03-05,2024-01-08,56.0,Male,Jennifershire
34,2021-08-08,2023-04-29,44.0,Female,Port Christopher
35,2022-07-26,2023-03-31,37.0,Female,Seanland
36,2023-06-19,2024-04-05,26.0,,North Kelsey
37,2023-06-17,2024-04-22,54.0,Female,North Karen
38,2023-02-27,2024-03-30,,Female,Tammybury
39,2022-12-11,2023-01-26,,Female,East Mathewshire
40,2024-02-19,2024-05-25,27.0,Female,Martinborough
41,2021-06-21,2024-05-28,21.0,Male,New Dylan
42,2022-06-29,2024-04-21,58.0,Male,West Reginaburgh
43,2023-04-08,2023-07-05,58.0,Male,Lake Nancy
44,2020-02-18,2022-12-15,19.0,Female,South Michaelshire
45,2020-02-11,2023-12-03,23.0,Male,Lake Patriciaberg
46,2021-10-07,2023-09-07,66.0,Female,Port Christopherview
47,2020-06-17,2023-05-29,31.0,Female,East Nicole
48,2022-11-04,2024-05-15,21.0,Male,Davidville
49,2023-03-23,2024-05-06,50.0,Male,Lambview
50,2021-03-12,2021-12-21,25.0,Male,Petersonberg
51,2021-05-23,2023-03-03,60.0,Female,West Jonathanstad
52,2023-12-29,2024-03-06,,Female,Port Andreatown
53,2023-10-14,2024-03-18,25.0,Male,Rothberg
54,2020-03-02,2020-08-29,55.0,Male,North Jose
55,2020-01-30,2024-05-28,49.0,Female,Jefferyburgh
56,2020-10-28,2022-09-10,46.0,Female,Brianaborough
57,2023-08-08,2024-04-13,65.0,Male,East Seantown
58,2023-09-29,2023-12-01,45.0,Male,Griffithbury
59,2024-04-20,2024-05-11,62.0,Male,Brianville
60,2020-09-06,2023-09-03,37.0,Male,Valerieport
61,2023-12-18,2024-01-25,38.0,Male,New Mollyville
62,2023-09-12,2024-01-31,22.0,Female,Connershire
63,2024-02-11,2024-04-27,48.0,Male,East Edward
64,2022-04-05,2023-02-21,18.0,Male,Carlamouth
65,2022-06-30,2022-11-24,37.0,Female,Lake Mercedes
66,2024-04-30,2024-05-25,43.0,,South Adammouth
67,2020-08-03,2020-08-17,,Female,Jenniferfurt
68,2020-11-09,2023-06-29,41.0,Female,Haleview
69,2021-04-12,2024-05-11,47.0,Female,Lake Megan
70,2020-08-23,2023-12-13,68.0,Male,Rileyville
71,2022-07-19,2023-11-10,,Female,North Thomas
72,2021-11-26,2022-12-16,,Female,Port Robert
73,2020-07-10,2023-10-15,60.0,Male,East Steventown
74,2022-11-28,2022-12-25,21.0,Female,Mistyberg
75,2021-09-07,2022-04-14,31.0,Male,West Anthonyberg
76,2021-07-10,2023-10-25,52.0,Male,East Rebecca
77,2024-02-19,2024-04-12,48.0,Female,Juliemouth
78,2020-08-08,2021-06-21,66.0,Female,Greeneberg
79,2022-12-09,2023-04-30,59.0,Female,Lake Marissaton
80,2022-04-22,2023-07-03,18.0,Male,Stevenside
81,2023-08-07,2023-12-13,67.0,Female,Longton
82,2022-08-08,2024-04-21,19.0,Male,Port Stevenville
83,2022-09-10,2023-08-26,24.0,Female,Smithfort
84,2020-07-01,2023-07-19,,Female,South Davidton
85,2021-10-15,2024-05-30,26.0,Female,Williamsside
86,2022-11-18,2023-03-31,28.0,Female,East Brooke
87,2020-08-29,2023-11-25,20.0,Male,East John
88,2022-12-27,2023-07-18,38.0,Male,East Noah
89,2023-03-27,2023-09-04,,Female,Buckleychester
90,2024-05-27,2024-05-31,60.0,Male,Jimenezland
91,2023-09-01,2023-10-19,50.0,Female,Dawnhaven
92,2022-08-16,2024-05-18,55.0,Male,Laneland
93,2023-10-11,2023-11-09,37.0,Female,Traceyborough
94,2023-01-04,2024-01-06,48.0,,Port Wandaton
95,2021-01-08,2023-10-25,37.0,Male,East Joseph
96,2022-06-05,2022-10-01,41.0,Female,Susanland
