customer_id,number_of_site_visits,number_of_emails_opened,number_of_clicks
1,10,15,1
2,285,49,51
3,192,73,25
4,110,30,17
5,161,2,7
6,74,59,7
7,64,4,6
8,60,22,7
9,49,43,21
10,188,46,24
11,33,3,1
12,364,166,13
13,367,32,38
14,21,7,7
15,305,78,57
16,43,13,1
17,2,4,5
18,44,64,28
19,166,134,3
20,2,6,1
21,187,39,30
22,381,72,31
23,161,52,23
24,460,154,71
25,3,10,5
26,85,18,6
27,189,97,51
28,133,55,21
29,51,23,23
30,279,142,18
31,33,4,1
32,188,52,2
33,140,17,49
34,132,21,4
35,20,9,7
36,24,44,8
37,34,54,25
38,101,37,37
39,6,4,1
40,37,2,3
41,371,86,5
42,273,80,36
43,34,2,5
44,464,99,4
45,244,94,119
46,295,76,54
47,95,181,9
48,206,100,3
49,42,35,18
50,86,10,21
51,66,33,63
52,10,6,4
53,6,10,13
54,15,24,14
55,307,70,58
56,326,111,40
57,41,40,7
58,18,7,4
59,8,2,1
60,316,102,88
61,3,1,2
62,25,17,6
63,8,6,1
64,128,31,30
65,11,10,2
66,6,1,1
67,2,1,1
68,460,75,7
69,429,209,29
70,316,156,87
71,238,35,14
72,124,68,14
73,446,109,69
74,3,2,1
75,92,8,9
76,263,37,41
77,3,3,3
78,62,2,29
79,2,14,4
80,42,69,3
81,18,20,6
82,43,52,23
83,117,45,5
84,555,157,69
85,409,27,12
86,43,2,5
87,507,127,33
88,31,20,15
89,25,2,10
90,1,1,1
91,5,1,1
92,134,4,15
93,8,3,1
94,72,32,35
95,140,84,1
96,51,9,4
97,35,7,8
98,101,29,23
99,216,136,47
100,13,21,9
101,2,1,1
102,30,12,4
103,80,43,20
104,282,100,6
105,19,8,4
106,9,49,2
107,4,3,2
108,13,8,35
109,10,19,6
110,346,152,57
111,3,4,1
112,159,76,39
113,1,3,5
114,52,31,15
115,2,2,1
116,165,46,40
117,67,47,9
118,25,9,6
119,102,3,10
120,120,179,59
121,31,15,8
122,141,60,16
123,201,54,13
124,114,16,18
125,134,74,38
126,307,239,113
127,2,36,22
128,171,4,45
129,207,112,58
130,174,3,31
131,142,74,20
132,281,34,44
133,228,66,7
134,58,39,6
135,160,34,2
136,149,53,16
137,26,7,7
138,1,1,1
139,203,95,59
140,42,20,6
141,108,53,24
142,455,96,48
143,218,10,6
144,83,8,5
145,117,9,3
146,2,1,1
147,1,1,1
148,187,150,8
149,25,14,18
150,1,17,5
151,231,56,28
152,396,104,99
153,193,100,14
154,1,1,1
155,19,36,7
156,1,1,1
157,19,12,8
158,67,9,4
159,24,8,3
160,87,85,24
161,165,40,9
162,82,76,6
163,159,123,22
164,2,4,1
165,5,1,1
166,18,8,1
167,2,16,8
168,34,6,4
169,40,5,1
170,575,217,72
171,41,8,7
172,39,4,20
173,12,27,1
174,70,37,18
175,133,79,6
176,15,27,73
177,105,42,12
178,188,1,36
179,93,30,71
180,132,9,10
181,48,3,1
182,127,40,15
183,28,5,1
184,22,100,46
185,61,16,4
186,308,2,21
187,96,22,9
188,89,14,12
189,43,37,1
190,107,45,4
191,66,2,10
192,42,28,16
193,97,23,2
194,4,2,1
195,511,99,29
196,33,12,19
197,170,122,51
198,3,3,2
199,9,8,11
200,17,5,4
201,45,9,9
202,16,6,6
203,64,32,10
204,130,19,2
205,54,35,9
206,273,200,14
207,1,3,1
208,11,10,1
209,27,9,13
210,114,13,56
211,26,7,4
212,174,161,12
213,195,9,50
214,40,3,4
215,107,75,14
216,3,1,1
217,2,5,4
218,52,31,12
219,3,20,1
220,275,58,75
221,2,1,1
222,40,7,2
223,241,132,3
224,57,36,11
225,23,7,1
226,85,42,20
227,118,44,23
228,1,1,1
229,166,40,2
230,13,30,13
231,2,9,2
232,42,13,9
233,73,5,13
234,28,7,3
235,8,5,2
236,7,2,1
237,2,7,7
238,81,2,10
239,182,52,5
240,4,3,1
241,16,8,4
242,1,1,1
243,4,1,1
244,25,11,6
245,161,12,11
246,7,1,1
247,206,61,95
248,1,1,1
249,33,111,29
250,42,13,12
251,13,3,3
252,104,54,15
253,45,34,21
254,26,4,7
255,12,5,3
256,87,13,9
257,255,29,30
258,611,120,29
259,308,121,25
260,94,18,1
261,486,278,121
262,511,142,59
263,11,9,11
264,82,21,19
265,64,4,14
266,5,1,4
267,35,9,1
268,100,38,11
269,3,10,2
270,23,5,3
271,5,4,1
272,444,74,98
273,76,13,1
274,2,23,8
275,162,40,21
276,150,80,74
277,71,27,2
278,55,43,24
279,90,31,27
280,163,29,13
281,25,175,97
282,12,31,4
283,103,133,19
284,129,47,18
285,284,101,19
286,1,1,1
287,16,4,3
288,34,7,4
289,267,90,33
290,417,180,42
291,2,1,1
292,1,1,1
293,47,32,15
294,138,70,31
295,69,16,16
296,81,14,5
297,424,83,61
298,95,48,17
299,276,105,39
300,18,15,1
301,24,6,1
302,16,7,3
303,81,60,6
304,3,5,3
305,68,52,29
306,61,71,47
307,1,1,1
308,219,3,7
309,41,42,37
310,7,17,15
311,36,24,12
312,340,127,4
313,49,13,8
314,95,106,17
315,20,26,9
316,193,59,36
317,6,3,3
318,89,45,23
319,126,28,8
320,266,20,15
321,115,17,15
322,71,26,4
323,59,244,91
324,39,9,15
325,250,118,2
326,83,23,18
327,141,29,10
328,19,4,1
329,48,33,6
330,314,92,8
331,1,1,1
332,15,10,10
333,83,14,12
334,109,81,18
335,23,53,1
336,20,9,18
337,22,201,78
338,182,82,2
339,80,32,7
340,221,71,13
341,241,73,47
342,266,18,38
343,49,53,39
344,4,5,3
345,18,52,3
346,9,6,5
347,274,1,18
348,32,67,4
349,37,34,15
