campaign_id,customer_id,response,promotion_type,campaign_date
1,1,No,Buy One Get One,2024-02-29
2,1,No,Discount,2024-01-24
3,1,No,Free Shipping,2024-03-05
4,1,Yes,Buy One Get One,2024-01-10
5,2,Yes,Free Shipping,2022-07-08
6,2,No,Free Shipping,2021-11-12
7,2,No,Discount,2023-04-12
8,2,Yes,Free Shipping,2022-06-19
9,3,No,Buy One Get One,2022-08-11
10,3,Yes,Buy One Get One,2021-11-15
11,4,No,Free Shipping,2022-06-04
12,4,No,Discount,2022-03-02
13,4,Yes,Free Shipping,2022-07-22
14,4,No,Buy One Get One,2022-05-15
15,5,No,Discount,2023-02-28
16,5,No,Discount,2022-02-06
17,5,No,Free Shipping,2022-11-26
18,5,No,Buy One Get One,2022-09-29
19,6,No,Free Shipping,2022-09-13
20,6,No,Discount,2022-11-14
21,6,Yes,Buy One Get One,2022-12-27
22,7,No,Free Shipping,2024-05-14
23,7,Yes,Free Shipping,2024-03-23
24,8,No,Buy One Get One,2023-07-08
25,8,Yes,Buy One Get One,2023-06-12
26,8,Yes,Free Shipping,2023-08-07
27,9,No,Discount,2023-04-29
28,9,Yes,Free Shipping,2022-07-03
29,10,Yes,Free Shipping,2022-09-04
30,11,No,Discount,2022-10-27
31,11,No,Free Shipping,2022-12-03
32,11,Yes,Discount,2022-11-27
33,12,No,Discount,2023-08-08
34,12,No,Discount,2024-02-25
35,12,Yes,Buy One Get One,2023-08-26
36,13,Yes,Free Shipping,2021-07-28
37,14,Yes,Buy One Get One,2021-10-26
38,14,Yes,Discount,2021-09-09
39,15,Yes,Discount,2022-12-01
40,16,Yes,Buy One Get One,2023-05-12
41,16,Yes,Free Shipping,2023-06-11
42,17,Yes,Free Shipping,2024-01-27
43,17,Yes,Discount,2023-12-30
44,18,Yes,Buy One Get One,2020-09-26
45,18,Yes,Free Shipping,2020-09-04
46,18,No,Discount,2021-04-19
47,18,Yes,Free Shipping,2020-12-18
48,19,Yes,Free Shipping,2021-10-12
49,19,No,Buy One Get One,2022-10-03
50,20,Yes,Discount,2021-01-12
51,20,Yes,Discount,2021-01-19
52,20,No,Free Shipping,2021-01-19
53,21,Yes,Buy One Get One,2023-12-07
54,21,Yes,Discount,2024-01-21
55,21,Yes,Free Shipping,2023-07-22
56,22,Yes,Free Shipping,2022-10-14
57,22,Yes,Buy One Get One,2021-05-13
58,22,No,Buy One Get One,2021-08-26
59,23,No,Buy One Get One,2023-02-14
60,23,Yes,Buy One Get One,2022-11-01
61,24,Yes,Free Shipping,2022-06-28
62,24,Yes,Free Shipping,2022-09-08
63,24,Yes,Buy One Get One,2020-11-06
64,24,No,Buy One Get One,2023-02-15
65,25,Yes,Discount,2023-05-24
66,25,Yes,Buy One Get One,2023-07-17
67,25,Yes,Free Shipping,2023-07-05
68,25,No,Buy One Get One,2023-05-23
69,26,No,Discount,2023-08-25
70,26,No,Discount,2023-10-09
71,27,Yes,Free Shipping,2021-11-01
72,27,Yes,Buy One Get One,2021-10-08
73,27,No,Buy One Get One,2022-09-19
74,28,No,Buy One Get One,2023-01-16
75,29,No,Free Shipping,2020-11-27
76,29,No,Discount,2020-07-10
